gene_symbol_a	clone_id_a	gene_symbol_b	clone_id_b	category	aa_seq_pct_identity	PDI_Jaccard_d	PPI_Jaccard_d	activation_abs_fold_change_log2
ZBTB16	ZBTB16-1	ZBTB18	ZBTB18-1	paralogs	23.33333333333333		1.0	0.0342513930171404
ZBTB16	ZBTB16-1	ZNF692	ZNF692-1	paralogs	17.916137229987296			0.9731352959123192
ZBTB16	ZBTB16-1	ZNF148	ZNF148-1	paralogs	7.01468189233279			0.5625637424212595
ZBTB16	ZBTB16-1	ZNF410	ZNF410-1	paralogs	12.342857142857143			3.0771338186108155
ZBTB1	ZBTB1-1	ZBTB16	ZBTB16-1	paralogs	20.75242718446602		1.0	2.035715009939529
ZBTB16	ZBTB16-1	ZNF276	ZNF276-1	paralogs	16.48616125150421			1.0902994555018115
SOX5	SOX5-1	SOX6	SOX6-3	paralogs	57.74309723889556			
SOX15	SOX15-1	SOX6	SOX6-3	paralogs	9.785202863961814			
GLI1	GLI1-1	ZIC1	ZIC1-1	paralogs	12.416107382550337			
GLI1	GLI1-1	GLIS2	GLIS2-1	paralogs	16.694915254237287			
AEBP2	AEBP2-2	GLI1	GLI1-1	paralogs	9.850993377483444			
GLI1	GLI1-1	ZIC3	ZIC3-2	paralogs	12.857142857142856			
ELK3	ELK3-1	FLI1	FLI1-1	paralogs	11.627906976744184	0.33333333333333337		1.865044339757275
ELK3	ELK3-1	ETV4	ETV4-1	paralogs	7.642487046632124	1.0		2.0763672791481524
ELF5	ELF5-2	ELK3	ELK3-1	paralogs	6.514084507042253			
ELK3	ELK3-1	ETV6	ETV6-1	paralogs	5.622489959839357	1.0		
ELK3	ELK3-1	ELK4	ELK4-1	paralogs	50.56947608200456	1.0		2.473830475616677
ELK3	ELK3-1	SPIB	SPIB-2	paralogs	5.545927209705372	1.0		1.9641722123935943
ELK3	ELK3-1	SPDEF	SPDEF-2	paralogs	6.870229007633588			2.024733235227636
THRB	THRB-2	VDR	VDR-2	paralogs	23.59550561797753	1.0		0.4343705379785877
RARA	RARA-1	VDR	VDR-2	paralogs	22.01834862385321	1.0		2.3011538312362934
PPARG	PPARG-1	VDR	VDR-2	paralogs	21.787709497206706	1.0		1.4972394194129306
RARG	RARG-1	VDR	VDR-2	paralogs	22.263450834879407	1.0		1.483970291276579
PPARD	PPARD-1	VDR	VDR-2	paralogs	23.26043737574553			
RORC	RORC-3	VDR	VDR-2	paralogs	23.465703971119133	1.0		1.5464459571807585
THRA	THRA-2	VDR	VDR-2	paralogs	27.061310782241016	1.0		2.1607208470294053
PPARD	PPARD-1	THRB	THRB-2	paralogs	25.440313111545983			1.6830139649313969
PPARD	PPARD-1	RARA	RARA-1	paralogs	25.60296846011132			3.549797258189103
PPARD	PPARD-1	PPARG	PPARG-1	paralogs	51.30260521042084		0.5	2.74588284636574
PPARD	PPARD-1	RARG	RARG-1	paralogs	25.384615384615383			2.7326137182293886
PPARD	PPARD-1	RORC	RORC-3	paralogs	23.18339100346021			2.795089384133568
PPARD	PPARD-1	THRA	THRA-2	paralogs	27.48414376321353			3.4093642739822148
ZNF143	ZNF143-1	ZNF451	ZNF451-2	paralogs	10.466067048242028			5.686926152347009
ZBTB18	ZBTB18-1	ZNF451	ZNF451-2	paralogs	10.09409751924722			1.0810996966807191
ZNF451	ZNF451-2	ZNF692	ZNF692-1	paralogs	7.345971563981042			0.1422157937855404
ZNF148	ZNF148-1	ZNF451	ZNF451-2	paralogs	15.00815660685155			1.677914832119119
ZNF410	ZNF410-1	ZNF451	ZNF451-2	paralogs	8.31918505942275			4.192484908308675
ZBTB1	ZBTB1-1	ZNF451	ZNF451-2	paralogs	12.752219531880549			0.9203639202416692
ZNF276	ZNF276-1	ZNF451	ZNF451-2	paralogs	5.167597765363128			0.0250516341960478
E2F3	E2F3-2	E2F6	E2F6-1	paralogs	26.293995859213247	1.0	0.6	4.570854930876387
E2F3	E2F3-2	E2F8	E2F8-1	paralogs	11.709844559585491			3.125670357414125
ZBTB24	ZBTB24-1	ZNF747	ZNF747-1	paralogs	12.352168199737187			5.933275473513409
ZBTB24	ZBTB24-1	ZBTB48	ZBTB48-1	paralogs	22.956730769230766			5.043039120119508
ZBTB24	ZBTB24-1	ZNF473	ZNF473-1	paralogs	13.941018766756033			0.8960944979215242
ZBTB24	ZBTB24-1	ZNF688	ZNF688-2	paralogs	8.885941644562333			5.649188919520112
TBX18	TBX18-3	TBX22	TBX22-2	paralogs	39.20634920634921			
TBX18	TBX18-3	TBX6	TBX6-2	paralogs	25.64102564102564	1.0		
ESR2	ESR2-2	NR3C1	NR3C1-1	paralogs	17.36111111111111			
ESRRG	ESRRG-1	NR3C1	NR3C1-1	paralogs	18.248175182481752			
ESRRA	ESRRA-1	NR3C1	NR3C1-1	paralogs	14.906103286384976			
ZBTB47	ZBTB47-2	ZNF513	ZNF513-1	paralogs	17.14614499424626			
STAT1	STAT1-1	STAT5A	STAT5A-1	paralogs	28.33530106257379			
STAT1	STAT1-1	STAT3	STAT3-1	paralogs	50.965250965250966			
ATF2	ATF2-1	CREB5	CREB5-1	paralogs	38.67120954003408		0.75	1.3800956805021591
PAX8	PAX8-2	PRRX1	PRRX1-2	paralogs	12.0	1.0		
OTX2	OTX2-2	PRRX1	PRRX1-2	paralogs	19.00826446280992	1.0		2.5748866576671494
PAX5	PAX5-1	PRRX1	PRRX1-2	paralogs	13.004484304932737	1.0		0.6485784388718278
KLF12	KLF12-2	KLF7	KLF7-1	paralogs	30.048076923076923	0.8		2.758502091051989
KLF4	KLF4-1	KLF7	KLF7-1	paralogs	17.28813559322034	1.0		1.7655719508486016
PLAGL1	PLAGL1-1	ZNF131	ZNF131-2	paralogs	11.879895561357705			5.294308387877993
OVOL1	OVOL1-1	PLAGL1	PLAGL1-1	paralogs	7.082630691399664	1.0		0.716620520690864
PLAGL1	PLAGL1-1	ZSCAN18	ZSCAN18-2	paralogs	4.166666666666666	1.0		2.009742347763442
PLAGL1	PLAGL1-1	ZNF18	ZNF18-2	paralogs	6.775700934579438	1.0		1.2194449173605144
PLAGL1	PLAGL1-1	ZSCAN32	ZSCAN32-1	paralogs	6.180344478216818	1.0		0.4878513213499842
ZNF114	ZNF114-2	ZNF430	ZNF430-4	paralogs	25.120772946859905			1.8588559688532351
FOXD4L1	FOXD4L1-1	FOXO3	FOXO3-2	paralogs	17.63085399449036	1.0		9.84214038176563
KLF12	KLF12-2	KLF4	KLF4-1	paralogs	28.599221789883263	1.0		4.52407404190059
ZNF143	ZNF143-1	ZNF410	ZNF410-1	paralogs	21.973094170403588	1.0		1.4944412440383346
ZBTB18	ZBTB18-1	ZNF410	ZNF410-1	paralogs	18.195488721804512			3.111385211627956
ZNF410	ZNF410-1	ZNF692	ZNF692-1	paralogs	20.66246056782334			4.050269114523134
ZNF148	ZNF148-1	ZNF410	ZNF410-1	paralogs	10.654008438818568			2.514570076189556
ZBTB1	ZBTB1-1	ZNF410	ZNF410-1	paralogs	10.090702947845804			5.112848828550344
ZNF276	ZNF276-1	ZNF410	ZNF410-1	paralogs	15.789473684210526			4.167433274112627
MXD3	MXD3-2	MXI1	MXI1-2	paralogs	29.874213836477985			
SMAD3	SMAD3-1	SMAD9	SMAD9-1	paralogs	59.660297239915074			
SMAD4	SMAD4-2	SMAD9	SMAD9-1	paralogs	34.87972508591065			
ZNF418	ZNF418-1	ZNF549	ZNF549-1	paralogs	46.23044096728307			1.603111180376847
ZNF549	ZNF549-1	ZNF772	ZNF772-4	paralogs	40.15625			
ZNF548	ZNF548-1	ZNF549	ZNF549-1	paralogs	40.93023255813954			1.375029767122109
E4F1	E4F1-1	ZNF549	ZNF549-1	paralogs	17.558886509635975			6.033772998993396
ZNF549	ZNF549-1	ZNF79	ZNF79-1	paralogs	33.73676248108926			
ZNF549	ZNF549-1	ZNF691	ZNF691-1	paralogs	21.14197530864197			2.36219506813451
ZNF131	ZNF131-2	ZSCAN18	ZSCAN18-2	paralogs	9.225512528473804			3.2845660401145502
OVOL1	OVOL1-1	ZSCAN18	ZSCAN18-2	paralogs	10.508474576271183			2.726362868454306
ZNF18	ZNF18-2	ZSCAN18	ZSCAN18-2	paralogs	24.148606811145516	1.0	1.0	0.7902974304029282
ZSCAN18	ZSCAN18-2	ZSCAN32	ZSCAN32-1	paralogs	22.98050139275766			2.497593669113427
TBX22	TBX22-2	TBX6	TBX6-2	paralogs	30.46594982078853			
EGR2	EGR2-1	WT1	WT1-4	paralogs	23.17262830482115			0.95216357470694
NR4A1	NR4A1-3	NR4A2	NR4A2-1	paralogs	53.77358490566038		0.75	1.099453361936189
FLI1	FLI1-1	SPDEF	SPDEF-2	paralogs	21.193415637860085			0.159688895470361
ETV4	ETV4-1	SPDEF	SPDEF-2	paralogs	20.761904761904763			0.0516340439205165
ELF5	ELF5-2	SPDEF	SPDEF-2	paralogs	18.89763779527559			
ETV6	ETV6-1	SPDEF	SPDEF-2	paralogs	16.845878136200717			
ELK4	ELK4-1	SPDEF	SPDEF-2	paralogs	7.227138643067847			4.498563710844313
SPDEF	SPDEF-2	SPIB	SPIB-2	paralogs	21.138211382113823			0.0605610228340416
OTX2	OTX2-2	PAX8	PAX8-2	paralogs	13.636363636363637			
PAX5	PAX5-1	PAX8	PAX8-2	paralogs	51.07296137339056	1.0		
FOS	FOS-1	FOSB	FOSB-1	paralogs	41.66666666666667		0.6153846153846154	0.1989500324027737
ATF3	ATF3-1	FOSB	FOSB-1	paralogs	17.613636363636363			6.045165097930508
THRA	THRA-2	THRB	THRB-2	paralogs	66.66666666666666	0.8		1.7263503090508177
RARA	RARA-1	THRA	THRA-2	paralogs	28.3495145631068	1.0		0.1404329842068881
PPARG	PPARG-1	THRA	THRA-2	paralogs	25.95419847328244	1.0		0.6634814276164747
RARG	RARG-1	THRA	THRA-2	paralogs	29.051383399209485	1.0		0.6767505557528262
RORC	RORC-3	THRA	THRA-2	paralogs	23.655913978494624	0.5		0.6142748898486468
STAT3	STAT3-1	STAT5A	STAT5A-1	paralogs	29.52941176470588			2.188946871300103
GLIS2	GLIS2-1	ZIC1	ZIC1-1	paralogs	22.601626016260163			
AEBP2	AEBP2-2	GLIS2	GLIS2-1	paralogs	13.92757660167131			
GLIS2	GLIS2-1	ZIC3	ZIC3-2	paralogs	19.186046511627907			2.1629782247577825
ZBTB1	ZBTB1-1	ZNF143	ZNF143-1	paralogs	10.440122824974411			6.607290072588679
ZBTB1	ZBTB1-1	ZBTB18	ZBTB18-1	paralogs	18.29733163913596		0.5	2.0014636169223885
ZBTB1	ZBTB1-1	ZNF692	ZNF692-1	paralogs	14.664981036662454			1.0625797140272095
ZBTB1	ZBTB1-1	ZNF148	ZNF148-1	paralogs	5.87288817377313			2.5982787523607884
ZBTB1	ZBTB1-1	ZNF276	ZNF276-1	paralogs	14.481185860889395			0.9454155544377172
IRF5	IRF5-1	IRF9	IRF9-1	paralogs	23.754789272030653			
FEZF1	FEZF1-1	ZNF280D	ZNF280D-2	paralogs	10.845588235294118			
FEZF1	FEZF1-1	ZBTB49	ZBTB49-1	paralogs	18.946047678795484			
FEZF1	FEZF1-1	ZBTB7B	ZBTB7B-2	paralogs	16.593245227606463			
E2F6	E2F6-1	E2F8	E2F8-1	paralogs	7.158351409978309			1.4451845734622624
SOX15	SOX15-1	SOX5	SOX5-1	paralogs	9.236453201970445			0.8400007716118397
ZNF26	ZNF26-1	ZNF317	ZNF317-1	paralogs	38.651315789473685			
ZNF317	ZNF317-1	ZNF655	ZNF655-2	paralogs	24.539877300613497			
ZNF317	ZNF317-1	ZNF460	ZNF460-1	paralogs	32.253313696612665			
ZNF317	ZNF317-1	ZNF607	ZNF607-1	paralogs	33.201581027667984			
ZNF317	ZNF317-1	ZNF544	ZNF544-1	paralogs	32.38341968911917			
ZNF254	ZNF254-1	ZNF317	ZNF317-1	paralogs	35.19553072625698			
ZNF3	ZNF3-1	ZNF317	ZNF317-1	paralogs	33.169934640522875			
ZNF250	ZNF250-1	ZNF317	ZNF317-1	paralogs	39.1653290529695			
ZIM2	ZIM2-1	ZNF317	ZNF317-1	paralogs	18.75808538163001			
ZNF317	ZNF317-1	ZNF696	ZNF696-1	paralogs	27.84184514003295			
ZNF317	ZNF317-1	ZNF829	ZNF829-1	paralogs	32.57698541329012			
ZNF317	ZNF317-1	ZNF415	ZNF415-2	paralogs	33.3843797856049			
ZNF317	ZNF317-1	ZNF483	ZNF483-1	paralogs	30.909090909090907			
ZNF138	ZNF138-2	ZNF317	ZNF317-1	paralogs	22.166666666666668			
ZNF317	ZNF317-1	ZNF718	ZNF718-1	paralogs	35.548172757475086			
ZFP1	ZFP1-2	ZNF317	ZNF317-1	paralogs	32.436974789915965			
ZNF12	ZNF12-1	ZNF317	ZNF317-1	paralogs	35.07362784471218			
ZNF317	ZNF317-1	ZNF320	ZNF320-1	paralogs	35.294117647058826			
ZNF23	ZNF23-2	ZNF317	ZNF317-1	paralogs	34.599728629579374			
RARA	RARA-1	THRB	THRB-2	paralogs	27.522935779816518	1.0		1.8667832932577055
PPARG	PPARG-1	RARA	RARA-1	paralogs	25.547445255474454	1.0		0.8039144118233628
RARA	RARA-1	RARG	RARG-1	paralogs	68.75			0.8171835399597143
RARA	RARA-1	RORC	RORC-3	paralogs	21.850079744816583	1.0		0.7547078740555349
PPARG	PPARG-1	THRB	THRB-2	paralogs	26.88588007736944	1.0		1.062868881434343
PPARG	PPARG-1	RARG	RARG-1	paralogs	24.050632911392405	1.0		0.0132691281363515
PPARG	PPARG-1	RORC	RORC-3	paralogs	22.276422764227643	1.0		0.0492065377678279
ARNT2	ARNT2-1	ARNTL	ARNTL-1	paralogs	31.061598951507207		0.9230769230769231	
ARNTL	ARNTL-1	NPAS2	NPAS2-1	paralogs	16.183816183816184		1.0	
MEIS2	MEIS2-1	PKNOX1	PKNOX1-1	paralogs	31.26177024482109		0.8260869565217392	
MEIS2	MEIS2-1	TGIF1	TGIF1-3	paralogs	12.433392539964476			4.412633873943035
MEIS1	MEIS1-1	MEIS2	MEIS2-1	paralogs	68.76310272536688		0.05555555555555558	
MEIS2	MEIS2-1	PBX1	PBX1-1	paralogs	21.49532710280374		0.7391304347826086	2.577856258491173
DMTF1	DMTF1-1	MYBL1	MYBL1-1	paralogs	15.52917903066271			
ELF5	ELF5-2	FLI1	FLI1-1	paralogs	16.233766233766232			
ELF5	ELF5-2	ETV4	ETV4-1	paralogs	14.36893203883495			
ELF5	ELF5-2	ETV6	ETV6-1	paralogs	18.58974358974359			
ELF5	ELF5-2	ELK4	ELK4-1	paralogs	6.081081081081082			
ELF5	ELF5-2	SPIB	SPIB-2	paralogs	24.437299035369776			
GRHL3	GRHL3-3	TFCP2	TFCP2-1	paralogs	19.246861924686197		1.0	2.431244169047018
HEY1	HEY1-2	HEY2	HEY2-2	paralogs	54.492753623188406	0.4		
ZKSCAN3	ZKSCAN3-2	ZSCAN9	ZSCAN9-1	paralogs	34.909090909090914			1.712073805701532
ZSCAN21	ZSCAN21-1	ZSCAN9	ZSCAN9-1	paralogs	37.24696356275304			1.551298098157924
ZNF24	ZNF24-1	ZSCAN9	ZSCAN9-1	paralogs	44.19753086419753		0.33333333333333337	
ZNF75A	ZNF75A-1	ZSCAN9	ZSCAN9-1	paralogs	23.83177570093458			
ZSCAN25	ZSCAN25-1	ZSCAN9	ZSCAN9-1	paralogs	29.80599647266314			1.4347979098852246
ZNF397	ZNF397-2	ZSCAN9	ZSCAN9-1	paralogs	37.36059479553903		0.6666666666666667	
ZNF394	ZNF394-1	ZSCAN9	ZSCAN9-1	paralogs	32.280701754385966		0.6666666666666667	
ZNF449	ZNF449-1	ZSCAN9	ZSCAN9-1	paralogs	29.03225806451613			
ZSCAN26	ZSCAN26-1	ZSCAN9	ZSCAN9-1	paralogs	33.46456692913386			1.608849965693125
ZNF232	ZNF232-1	ZSCAN9	ZSCAN9-1	paralogs	38.80266075388026			
ZBTB49	ZBTB49-1	ZNF280D	ZNF280D-2	paralogs	10.496338486574452			
ZBTB7B	ZBTB7B-2	ZNF280D	ZNF280D-2	paralogs	8.32632464255677			
LEF1	LEF1-1	TCF7L2	TCF7L2-1	paralogs	41.20521172638437			
ETV6	ETV6-1	FLI1	FLI1-1	paralogs	17.22488038277512	1.0		
ETV4	ETV4-1	ETV6	ETV6-1	paralogs	18.8135593220339			
ELK4	ELK4-1	ETV6	ETV6-1	paralogs	4.980842911877394			
ETV6	ETV6-1	SPIB	SPIB-2	paralogs	15.822784810126585			
AEBP2	AEBP2-2	ZIC1	ZIC1-1	paralogs	14.673046251993622			
AEBP2	AEBP2-2	ZIC3	ZIC3-2	paralogs	17.647058823529413	1.0		2.611134283771624
ESR2	ESR2-2	ESRRG	ESRRG-1	paralogs	31.20567375886525	1.0		2.8142674333079984
ESR2	ESR2-2	ESRRA	ESRRA-1	paralogs	29.00900900900901	1.0		2.0914482069497864
TCF12	TCF12-1	TCF4	TCF4-1	paralogs	61.25000000000001	0.5	0.326530612244898	1.5501126029026198
ZNF131	ZNF131-2	ZSCAN32	ZSCAN32-1	paralogs	12.446351931330472			5.782159709227977
OVOL1	OVOL1-1	ZSCAN32	ZSCAN32-1	paralogs	11.141678129298487			0.2287691993408798
ZNF18	ZNF18-2	ZSCAN32	ZSCAN32-1	paralogs	27.237354085603112	1.0		1.7072962387104986
SMAD3	SMAD3-1	SMAD4	SMAD4-2	paralogs	35.1493848857645		1.0	
NFIA	NFIA-2	NFIC	NFIC-1	paralogs	63.38289962825279			2.528170634356613
ZNF473	ZNF473-1	ZNF747	ZNF747-1	paralogs	8.89348500517063			6.829369971434933
ZBTB48	ZBTB48-1	ZNF473	ZNF473-1	paralogs	18.40796019900497			5.939133618041032
ZNF473	ZNF473-1	ZNF688	ZNF688-2	paralogs	6.954689146469968			6.545283417441636
ZNF596	ZNF596-1	ZNF614	ZNF614-1	paralogs	35.57377049180328			
ZNF614	ZNF614-1	ZNF669	ZNF669-1	paralogs	29.2436974789916			
ZNF169	ZNF169-3	ZNF614	ZNF614-1	paralogs	35.43191800878478			
ZNF124	ZNF124-1	ZNF614	ZNF614-1	paralogs	28.45117845117845			
ZNF614	ZNF614-1	ZNF778	ZNF778-1	paralogs	32.05619412515964			
ZNF19	ZNF19-1	ZNF614	ZNF614-1	paralogs	34.15841584158416			
ZNF559	ZNF559-1	ZNF614	ZNF614-1	paralogs	34.33283358320839			
ZNF599	ZNF599-1	ZNF614	ZNF614-1	paralogs	36.57407407407408			
ZNF614	ZNF614-1	ZNF69	ZNF69-2	paralogs	34.516129032258064			
ZNF180	ZNF180-2	ZNF614	ZNF614-1	paralogs	35.319148936170215			
ZNF177	ZNF177-1	ZNF614	ZNF614-1	paralogs	36.01286173633441			
RXRA	RXRA-1	RXRG	RXRG-1	paralogs	69.43866943866944	0.8		
NR2F2	NR2F2-1	RXRG	RXRG-1	paralogs	34.50413223140496			
RXRB	RXRB-1	RXRG	RXRG-1	paralogs	57.5812274368231			
HDX	HDX-1	POU2F1	POU2F1-2	paralogs	12.287712287712289			2.717595372494279
POU2F1	POU2F1-2	POU5F1	POU5F1-1	paralogs	15.227817745803357			0.4985523402861176
LHX8	LHX8-2	LHX9	LHX9-1	paralogs	28.893905191873586	1.0	0.75	
RORC	RORC-3	THRB	THRB-2	paralogs	21.27659574468085	1.0		1.112075419202171
RARG	RARG-1	RORC	RORC-3	paralogs	22.006472491909385	1.0		0.0624756659041794
MEIS1	MEIS1-1	PKNOX1	PKNOX1-1	paralogs	33.19755600814664		0.85	
MEIS1	MEIS1-1	TGIF1	TGIF1-3	paralogs	8.458646616541353			4.785262448042827
MEIS1	MEIS1-1	PBX1	PBX1-1	paralogs	16.165413533834585		0.7857142857142858	2.9504848325909654
RARG	RARG-1	THRB	THRB-2	paralogs	27.087198515769945	1.0		1.0495997532979915
ETV4	ETV4-1	FLI1	FLI1-1	paralogs	19.935691318327976	1.0		0.2113229393908775
ELK4	ELK4-1	FLI1	FLI1-1	paralogs	8.736559139784946	1.0		4.338874815373952
FLI1	FLI1-1	SPIB	SPIB-2	paralogs	15.560165975103734	1.0		0.0991278726363193
ZIC1	ZIC1-1	ZIC3	ZIC3-2	paralogs	64.22594142259415			
ZNF596	ZNF596-1	ZNF599	ZNF599-1	paralogs	39.285714285714285			0.8323141117392638
ZNF599	ZNF599-1	ZNF669	ZNF669-1	paralogs	30.23255813953488			
ZNF169	ZNF169-3	ZNF599	ZNF599-1	paralogs	37.42331288343559			
ZNF124	ZNF124-1	ZNF599	ZNF599-1	paralogs	29.22297297297297			
ZNF599	ZNF599-1	ZNF778	ZNF778-1	paralogs	37.64861294583884			3.120119747863311
ZNF19	ZNF19-1	ZNF599	ZNF599-1	paralogs	36.5			
ZNF559	ZNF559-1	ZNF599	ZNF599-1	paralogs	37.0253164556962			
ZNF599	ZNF599-1	ZNF69	ZNF69-2	paralogs	38.05031446540881			1.6992551133338116
ZNF180	ZNF180-2	ZNF599	ZNF599-1	paralogs	34.99308437067773			
ZNF177	ZNF177-1	ZNF599	ZNF599-1	paralogs	35.00837520938023			
ZNF131	ZNF131-2	ZNF18	ZNF18-2	paralogs	13.42042755344418			4.074863470517478
OVOL1	OVOL1-1	ZNF18	ZNF18-2	paralogs	11.853088480801336	1.0		1.9360654380513784
ZNF19	ZNF19-1	ZNF596	ZNF596-1	paralogs	36.0			0.153884581162831
ZNF19	ZNF19-1	ZNF669	ZNF669-1	paralogs	34.31578947368421			
ZNF169	ZNF169-3	ZNF19	ZNF19-1	paralogs	32.64			
ZNF124	ZNF124-1	ZNF19	ZNF19-1	paralogs	33.84279475982533			
ZNF19	ZNF19-1	ZNF778	ZNF778-1	paralogs	29.0407358738502			3.798549278439744
ZNF19	ZNF19-1	ZNF559	ZNF559-1	paralogs	31.04026845637584			
ZNF19	ZNF19-1	ZNF69	ZNF69-2	paralogs	34.133790737564325			2.3776846439102446
ZNF180	ZNF180-2	ZNF19	ZNF19-1	paralogs	31.360946745562128			
ZNF177	ZNF177-1	ZNF19	ZNF19-1	paralogs	35.87360594795539			
ELK4	ELK4-1	ETV4	ETV4-1	paralogs	8.857509627727858			4.550197754764829
ELK4	ELK4-1	SPIB	SPIB-2	paralogs	5.657237936772046			4.438002688010271
ZNF143	ZNF143-1	ZNF276	ZNF276-1	paralogs	13.801169590643276	1.0		5.661874518150961
ZBTB18	ZBTB18-1	ZNF276	ZNF276-1	paralogs	16.6882276843467			1.056048062484671
ZNF276	ZNF276-1	ZNF692	ZNF692-1	paralogs	21.14597544338336			0.1171641595894925
ZNF148	ZNF148-1	ZNF276	ZNF276-1	paralogs	7.740213523131673			1.6528631979230712
ZNF230	ZNF230-1	ZNF784	ZNF784-1	paralogs	21.23711340206185			
ZNF230	ZNF230-1	ZNF34	ZNF34-4	paralogs	36.18181818181818			2.1963570005065893
ZNF230	ZNF230-1	ZNF707	ZNF707-2	paralogs	27.89256198347108			
ZKSCAN7	ZKSCAN7-1	ZNF230	ZNF230-1	paralogs	24.902216427640155			3.534130475614107
ZNF230	ZNF230-1	ZNF398	ZNF398-1	paralogs	20.351390922401173			
ZNF223	ZNF223-1	ZNF230	ZNF230-1	paralogs	77.80082987551867			
ZNF230	ZNF230-1	ZNF467	ZNF467-1	paralogs	21.951219512195124			
ZNF230	ZNF230-1	ZNF333	ZNF333-1	paralogs	26.4919941775837			
PKNOX1	PKNOX1-1	TGIF1	TGIF1-3	paralogs	13.518886679920476	1.0		
PBX1	PBX1-1	PKNOX1	PKNOX1-1	paralogs	18.53932584269663		1.0	
ZBTB49	ZBTB49-1	ZBTB7B	ZBTB7B-2	paralogs	19.070904645476773			
ZKSCAN3	ZKSCAN3-2	ZNF394	ZNF394-1	paralogs	36.824877250409166			
ZNF394	ZNF394-1	ZSCAN21	ZSCAN21-1	paralogs	38.21989528795812			
ZNF24	ZNF24-1	ZNF394	ZNF394-1	paralogs	30.47285464098073		0.5	
ZNF394	ZNF394-1	ZNF75A	ZNF75A-1	paralogs	20.103986135181977			
ZNF394	ZNF394-1	ZSCAN25	ZSCAN25-1	paralogs	34.96835443037975			
ZNF394	ZNF394-1	ZNF397	ZNF397-2	paralogs	38.77887788778877		1.0	
ZNF394	ZNF394-1	ZNF449	ZNF449-1	paralogs	33.92282958199357			
ZNF394	ZNF394-1	ZSCAN26	ZSCAN26-1	paralogs	36.97916666666667			
ZNF232	ZNF232-1	ZNF394	ZNF394-1	paralogs	29.64169381107492			
ZNF333	ZNF333-1	ZNF784	ZNF784-1	paralogs	14.809384164222877			
ZNF333	ZNF333-1	ZNF34	ZNF34-4	paralogs	30.0			
ZNF333	ZNF333-1	ZNF707	ZNF707-2	paralogs	20.42857142857143			
ZKSCAN7	ZKSCAN7-1	ZNF333	ZNF333-1	paralogs	31.90709046454768			
ZNF333	ZNF333-1	ZNF398	ZNF398-1	paralogs	23.93822393822394			
ZNF223	ZNF223-1	ZNF333	ZNF333-1	paralogs	25.35612535612536			
ZNF333	ZNF333-1	ZNF467	ZNF467-1	paralogs	24.503311258278146			
ZKSCAN3	ZKSCAN3-2	ZNF75A	ZNF75A-1	paralogs	18.48013816925734			2.3349175445811645
ZNF75A	ZNF75A-1	ZSCAN21	ZSCAN21-1	paralogs	21.104536489151872			2.1741418370375567
ZNF24	ZNF24-1	ZNF75A	ZNF75A-1	paralogs	25.415676959619955			
ZNF75A	ZNF75A-1	ZSCAN25	ZSCAN25-1	paralogs	16.611842105263158			2.057641648764857
ZNF397	ZNF397-2	ZNF75A	ZNF75A-1	paralogs	19.34306569343066			
ZNF449	ZNF449-1	ZNF75A	ZNF75A-1	paralogs	22.36598890942699			
ZNF75A	ZNF75A-1	ZSCAN26	ZSCAN26-1	paralogs	21.218074656188605			2.231693704572758
ZNF232	ZNF232-1	ZNF75A	ZNF75A-1	paralogs	24.45414847161572			
ATF3	ATF3-1	FOS	FOS-1	paralogs	16.28498727735369			5.846215065527734
REL	REL-1	RELA	RELA-1	paralogs	36.517719568567024			
NEUROD1	NEUROD1-1	NEUROG1	NEUROG1-1	paralogs	19.395465994962212			
ZNF143	ZNF143-1	ZNF148	ZNF148-1	paralogs	14.587737843551796	1.0		4.0090113202278905
ZBTB18	ZBTB18-1	ZNF148	ZNF148-1	paralogs	8.07799442896936			0.5968151354383999
ZNF148	ZNF148-1	ZNF692	ZNF692-1	paralogs	8.228460793804453			1.535699038333579
ZNF418	ZNF418-1	ZNF691	ZNF691-1	paralogs	19.56204379562044			3.965306248511357
ZNF691	ZNF691-1	ZNF772	ZNF772-4	paralogs	26.83982683982684			
ZNF548	ZNF548-1	ZNF691	ZNF691-1	paralogs	22.831858407079647			3.737224835256619
E4F1	E4F1-1	ZNF691	ZNF691-1	paralogs	11.15151515151515			3.671577930858885
ZNF691	ZNF691-1	ZNF79	ZNF79-1	paralogs	29.158512720156555			1.1315850648799168
EBF1	EBF1-1	EBF2	EBF2-1	paralogs	76.89713322091062			2.7969305454756848
ZNF12	ZNF12-1	ZNF26	ZNF26-1	paralogs	39.57446808510638			1.2436600071163904
ZNF12	ZNF12-1	ZNF655	ZNF655-2	paralogs	25.3028263795424			
ZNF12	ZNF12-1	ZNF460	ZNF460-1	paralogs	33.51800554016621			
ZNF12	ZNF12-1	ZNF607	ZNF607-1	paralogs	41.08322324966975			1.3912645016681149
ZNF12	ZNF12-1	ZNF544	ZNF544-1	paralogs	39.89769820971867			0.6427023204734102
ZNF12	ZNF12-1	ZNF254	ZNF254-1	paralogs	39.75741239892183			
ZNF12	ZNF12-1	ZNF3	ZNF3-1	paralogs	28.62903225806452			
ZNF12	ZNF12-1	ZNF250	ZNF250-1	paralogs	37.61969904240766			
ZIM2	ZIM2-1	ZNF12	ZNF12-1	paralogs	17.391304347826086			
ZNF12	ZNF12-1	ZNF696	ZNF696-1	paralogs	19.485791610284167			
