gene_symbol	Ensembl_gene_ID	family	reference_isoform	alternative_isoform	DBD_pct_lost_in_alt	PDI_category	PPI_category	M1H_activation_category	localization_category	alt_iso_classification	detailed_alt_iso_classification
MXI1	ENSG00000119950	bHLH	MXI1-2	MXI1-3	0.0	NA	NA	activation loss	NA	NA	NA
MXI1	ENSG00000119950	bHLH	MXI1-2	MXI1-4	13.88888888888889	NA	NA	activation loss	NA	NA	NA
ZNF511	ENSG00000198546	C2H2 ZF	ZNF511-2	ZNF511-1	0.0	NA	NA	similar	NA	NA	NA
EBF3	ENSG00000108001	EBF1	EBF3-2	EBF3-1	0.0	NA	NA	similar	NA	NA	NA
EBF3	ENSG00000108001	EBF1	EBF3-2	EBF3-3	26.43312101910828	NA	NA	similar	NA	NA	NA
EGR2	ENSG00000122877	C2H2 ZF	EGR2-1	EGR2-2	0.0	NA	NA	rewire	NA	NA	NA
ZNF438	ENSG00000183621	C2H2 ZF	ZNF438-1	ZNF438-2	0.0	PDI gain	PPI rewire	similar	NA	rewirer	rewirer
OVOL1	ENSG00000172818	C2H2 ZF	OVOL1-1	OVOL1-2	0.0	NA	NA	similar	NA	NA	NA
FLI1	ENSG00000151702	Ets	FLI1-1	FLI1-2	0.0	PDI loss	NA	similar	no localization change	negative regulator	negative regulator (PDIs)
FLI1	ENSG00000151702	Ets	FLI1-1	FLI1-3	0.0	no PDI change	NA	rewire	no localization change	rewirer	rewirer
FLI1	ENSG00000151702	Ets	FLI1-1	FLI1-4	0.0	NA	NA	activation loss	no localization change	NA	NA
ARNTL	ENSG00000133794	bHLH	ARNTL-1	ARNTL-2	0.0	NA	PPI loss: all	NA	NA	NA	NA
NR1H3	ENSG00000025434	Nuclear receptor	NR1H3-1	NR1H3-2	0.0	NA	PPI loss: all	similar	NA	negative regulator	negative regulator (PPIs)
ESRRA	ENSG00000173153	Nuclear receptor	ESRRA-1	ESRRA-2	95.71428571428572	NA	PPI rewire	similar	NA	negative regulator	negative regulator (DBD loss)
ZNF143	ENSG00000166478	C2H2 ZF	ZNF143-1	ZNF143-2	0.0	no PDI change	PPI loss: signalling	similar	NA	negative regulator	negative regulator (PPIs)
ZNF143	ENSG00000166478	C2H2 ZF	ZNF143-1	ZNF143-3	0.0	no PDI change	PPI rewire	similar	NA	rewirer	rewirer
ZBTB16	ENSG00000109906	C2H2 ZF	ZBTB16-1	ZBTB16-2	5.263157894736842	NA	PPI rewire	similar	NA	rewirer	rewirer
ELF5	ENSG00000135374	Ets	ELF5-2	ELF5-1	0.0	NA	NA	NA	NA	NA	NA
ELF5	ENSG00000135374	Ets	ELF5-2	ELF5-3	100.0	NA	NA	NA	NA	NA	NA
CREBZF	ENSG00000137504	bZIP	CREBZF-1	CREBZF-2	100.0	NA	PPI loss: all	activation loss	no localization change	negative regulator	negative regulator (activ,PPIs,DBD loss)
RELA	ENSG00000173039	Rel	RELA-1	RELA-3	0.0	NA	PPI loss: all	NA	NA	negative regulator	negative regulator (PPIs)
E2F8	ENSG00000129173	E2F	E2F8-1	E2F8-2	16.7741935483871	NA	NA	activation loss	NA	NA	NA
ZBTB44	ENSG00000196323	C2H2 ZF	ZBTB44-1	ZBTB44-3	53.98230088495575	NA	PPI rewire	repression GoF	NA	negative regulator	negative regulator (DBD loss)
ZBTB44	ENSG00000196323	C2H2 ZF	ZBTB44-1	ZBTB44-2	0.0	NA	PPI loss: all	similar	NA	negative regulator	negative regulator (PPIs)
ZBTB44	ENSG00000196323	C2H2 ZF	ZBTB44-1	ZBTB44-6	53.09734513274337	NA	PPI rewire	repression GoF	localization loss	negative regulator	negative regulator (DBD loss, loc loss)
ZBTB44	ENSG00000196323	C2H2 ZF	ZBTB44-1	ZBTB44-4	53.98230088495575	NA	PPI rewire	repression GoF	no localization change	negative regulator	negative regulator (DBD loss)
ZBTB44	ENSG00000196323	C2H2 ZF	ZBTB44-1	ZBTB44-5	53.98230088495575	NA	PPI rewire	repression GoF	no localization change	negative regulator	negative regulator (DBD loss)
WT1	ENSG00000184937	C2H2 ZF	WT1-4	WT1-6	6.4638783269961975	NA	NA	similar	NA	NA	NA
WT1	ENSG00000184937	C2H2 ZF	WT1-4	WT1-1	1.1406844106463878	NA	NA	NA	NA	NA	NA
WT1	ENSG00000184937	C2H2 ZF	WT1-4	WT1-2	7.604562737642586	NA	NA	similar	NA	NA	NA
SOX6	ENSG00000110693	HMG/Sox	SOX6-3	SOX6-1	0.0	NA	NA	NA	NA	NA	NA
SOX6	ENSG00000110693	HMG/Sox	SOX6-3	SOX6-2	0.0	NA	NA	NA	NA	NA	NA
SOX6	ENSG00000110693	HMG/Sox	SOX6-3	SOX6-5	0.0	NA	NA	NA	NA	NA	NA
SOX6	ENSG00000110693	HMG/Sox	SOX6-3	SOX6-6	0.0	NA	NA	NA	NA	NA	NA
SOX6	ENSG00000110693	HMG/Sox	SOX6-3	SOX6-7	0.0	NA	NA	NA	NA	NA	NA
ZNF26	ENSG00000198393	C2H2 ZF	ZNF26-1	ZNF26-2	0.0	NA	NA	similar	NA	NA	NA
MYF6	ENSG00000111046	bHLH	MYF6-2	MYF6-1	0.0	PDI loss	NA	similar	NA	negative regulator	negative regulator (PDIs)
FOXJ2	ENSG00000065970	Forkhead	FOXJ2-1	FOXJ2-2	0.0	NA	PPI loss: all	rewire	no localization change	negative regulator	negative regulator (PPIs)
NR4A1	ENSG00000123358	Nuclear receptor	NR4A1-3	NR4A1-1	0.0	NA	no PPI change (all PPIs)	activation loss	no localization change	negative regulator	negative regulator (activ)
NR4A1	ENSG00000123358	Nuclear receptor	NR4A1-3	NR4A1-2	0.0	NA	no PPI change (all PPIs)	similar	no localization change	similar to ref.	similar to ref.
NR4A1	ENSG00000123358	Nuclear receptor	NR4A1-3	NR4A1-4	60.0	NA	PPI loss: all	similar	no localization change	negative regulator	negative regulator (PPIs,DBD loss)
ARNTL2	ENSG00000029153	bHLH	ARNTL2-2	ARNTL2-1	0.0	NA	no PPI change (all PPIs)	NA	NA	NA	NA
ARNTL2	ENSG00000029153	bHLH	ARNTL2-2	ARNTL2-3	0.0	NA	no PPI change (all PPIs)	similar	NA	similar to ref.	similar to ref.
ARNTL2	ENSG00000029153	bHLH	ARNTL2-2	ARNTL2-4	0.0	NA	PPI loss: all	NA	NA	NA	NA
GLI1	ENSG00000111087	C2H2 ZF	GLI1-1	GLI1-3	7.317073170731707	NA	no PPI change (all PPIs)	NA	localization loss	NA	NA
GLI1	ENSG00000111087	C2H2 ZF	GLI1-1	GLI1-2	17.073170731707318	NA	no PPI change (all PPIs)	NA	localization loss	NA	NA
ETV6	ENSG00000139083	Ets	ETV6-1	ETV6-2	100.0	NA	NA	NA	NA	NA	NA
RFX4	ENSG00000111783	RFX	RFX4-1	RFX4-3	87.34177215189874	PDI loss	PPI loss: all	similar	localization loss	negative regulator	negative regulator (PDIs,PPIs,DBD loss, loc loss)
RFX4	ENSG00000111783	RFX	RFX4-1	RFX4-2	0.0	NA	PPI rewire	similar	no localization change	rewirer	rewirer
AEBP2	ENSG00000139154	C2H2 ZF	AEBP2-2	AEBP2-3	0.0	NA	NA	similar	NA	NA	NA
RARG	ENSG00000172819	Nuclear receptor	RARG-1	RARG-2	0.0	PDI rewire	NA	similar	NA	rewirer	rewirer
TBX5	ENSG00000089225	T-box	TBX5-1	TBX5-2	0.0	no PDI change	NA	similar	no localization change	similar to ref.	similar to ref.
TBX5	ENSG00000089225	T-box	TBX5-1	TBX5-3	0.0	PDI rewire	NA	activation loss	localization loss	negative regulator	negative regulator (activ, loc loss)
VDR	ENSG00000111424	Nuclear receptor	VDR-2	VDR-1	0.0	NA	NA	NA	NA	NA	NA
SOX5	ENSG00000134532	HMG/Sox	SOX5-1	SOX5-2	0.0	NA	PPI loss: all	similar	NA	negative regulator	negative regulator (PPIs)
FOXN4	ENSG00000139445	Forkhead	FOXN4-1	FOXN4-2	7.954545454545454	NA	PPI loss: signalling	similar	no localization change	negative regulator	negative regulator (PPIs)
DDIT3	ENSG00000175197	bZIP	DDIT3-2	DDIT3-1	0.0	NA	PPI rewire	NA	no localization change	rewirer	rewirer
TFCP2	ENSG00000135457	Grainyhead	TFCP2-1	TFCP2-2	23.50230414746544	NA	PPI loss: all	rewire	NA	negative regulator	negative regulator (PPIs,DBD loss)
TFCP2	ENSG00000135457	Grainyhead	TFCP2-1	TFCP2-3	0.0	NA	PPI loss: cofactor,signalling	similar	NA	negative regulator	negative regulator (PPIs)
SMAD9	ENSG00000120693	SMAD	SMAD9-1	SMAD9-2	0.0	NA	NA	similar	NA	NA	NA
KLF12	ENSG00000118922	C2H2 ZF	KLF12-2	KLF12-1	67.46987951807229	NA	NA	NA	NA	NA	NA
ZNF410	ENSG00000119725	C2H2 ZF	ZNF410-1	ZNF410-2	0.0	NA	NA	similar	NA	NA	NA
ZNF410	ENSG00000119725	C2H2 ZF	ZNF410-1	ZNF410-4	100.0	NA	NA	rewire	NA	NA	NA
ZNF410	ENSG00000119725	C2H2 ZF	ZNF410-1	ZNF410-3	0.0	NA	NA	rewire	NA	NA	NA
FOS	ENSG00000170345	bZIP	FOS-1	FOS-2	22.22222222222222	NA	PPI rewire	similar	no localization change	negative regulator	negative regulator (DBD loss)
FOS	ENSG00000170345	bZIP	FOS-1	FOS-3	100.0	NA	PPI loss: all	NA	no localization change	NA	NA
IRF9	ENSG00000213928	IRF	IRF9-1	IRF9-3	87.61904761904762	NA	NA	NA	NA	NA	NA
IRF9	ENSG00000213928	IRF	IRF9-1	IRF9-5	87.61904761904762	NA	NA	NA	NA	NA	NA
ZBTB1	ENSG00000126804	C2H2 ZF	ZBTB1-1	ZBTB1-2	100.0	NA	PPI loss: all	similar	NA	negative regulator	negative regulator (PPIs,DBD loss)
HIF1A	ENSG00000100644	bHLH	HIF1A-1	HIF1A-2	80.76923076923077	NA	NA	NA	NA	NA	NA
HIF1A	ENSG00000100644	bHLH	HIF1A-1	HIF1A-3	0.0	NA	NA	NA	NA	NA	NA
MAX	ENSG00000125952	bHLH	MAX-1	MAX-2	0.0	PDI rewire	NA	NA	no localization change	NA	NA
MAX	ENSG00000125952	bHLH	MAX-1	MAX-3	0.0	PDI rewire	NA	rewire	no localization change	rewirer	rewirer
MAX	ENSG00000125952	bHLH	MAX-1	MAX-4	0.0	PDI rewire	NA	rewire	no localization change	rewirer	rewirer
MAX	ENSG00000125952	bHLH	MAX-1	MAX-5	34.61538461538461	PDI loss	NA	rewire	no localization change	negative regulator	negative regulator (PDIs,DBD loss)
MAX	ENSG00000125952	bHLH	MAX-1	MAX-6	34.61538461538461	PDI loss	NA	rewire	no localization change	negative regulator	negative regulator (PDIs,DBD loss)
SALL2	ENSG00000165821	C2H2 ZF	SALL2-3	SALL2-2		NA	NA	rewire	NA	NA	NA
ZBTB25	ENSG00000089775	C2H2 ZF	ZBTB25-1	ZBTB25-2	84.21052631578947	NA	PPI loss: all	similar	NA	negative regulator	negative regulator (PPIs,DBD loss)
ZBTB25	ENSG00000089775	C2H2 ZF	ZBTB25-1	ZBTB25-4	100.0	NA	PPI loss: all	similar	NA	negative regulator	negative regulator (PPIs,DBD loss)
OTX2	ENSG00000165588	Homeodomain	OTX2-2	OTX2-1	0.0	NA	NA	similar	NA	NA	NA
OTX2	ENSG00000165588	Homeodomain	OTX2-2	OTX2-3	100.0	NA	NA	rewire	NA	NA	NA
ESR2	ENSG00000140009	Nuclear receptor	ESR2-2	ESR2-1	0.0	NA	NA	repression loss	NA	NA	NA
ESR2	ENSG00000140009	Nuclear receptor	ESR2-2	ESR2-3	0.0	NA	NA	similar	NA	NA	NA
SIX1	ENSG00000126778	Homeodomain	SIX1-1	SIX1-2	100.0	NA	NA	NA	NA	NA	NA
HMG20A	ENSG00000140382	HMG/Sox	HMG20A-1	HMG20A-2	0.0	NA	PPI rewire	similar	NA	rewirer	rewirer
NR2F2	ENSG00000185551	Nuclear receptor	NR2F2-1	NR2F2-2		NA	no PPI change (all PPIs)	similar	NA	similar to ref.	similar to ref.
TCF12	ENSG00000140262	bHLH	TCF12-1	TCF12-2	22.01834862385321	NA	PPI rewire	NA	no localization change	NA	NA
TCF12	ENSG00000140262	bHLH	TCF12-1	TCF12-3	22.93577981651376	NA	PPI rewire	rewire	no localization change	negative regulator	negative regulator (DBD loss)
SMAD3	ENSG00000166949	SMAD	SMAD3-1	SMAD3-3	37.62376237623762	NA	PPI loss: all	similar	NA	negative regulator	negative regulator (PPIs,DBD loss)
SMAD3	ENSG00000166949	SMAD	SMAD3-1	SMAD3-2	0.0	NA	no PPI change (all PPIs)	similar	NA	similar to ref.	similar to ref.
SMAD3	ENSG00000166949	SMAD	SMAD3-1	SMAD3-4	37.62376237623762	NA	PPI loss: all	similar	NA	negative regulator	negative regulator (PPIs,DBD loss)
ARNT2	ENSG00000172379	bHLH	ARNT2-1	ARNT2-3	0.0	NA	NA	NA	NA	NA	NA
ARNT2	ENSG00000172379	bHLH	ARNT2-1	ARNT2-2	0.0	NA	PPI rewire	rewire	NA	rewirer	rewirer
RORA	ENSG00000069667	Nuclear receptor	RORA-1	RORA-2	0.0	NA	NA	similar	NA	NA	NA
MEIS2	ENSG00000134138	Homeodomain	MEIS2-1	MEIS2-2	0.0	NA	no PPI change (all PPIs)	repression GoF	no localization change	rewirer	rewirer
MEIS2	ENSG00000134138	Homeodomain	MEIS2-1	MEIS2-3	0.0	NA	PPI loss: cofactor,signalling	NA	localization loss	NA	NA
ZNF280D	ENSG00000137871	C2H2 ZF	ZNF280D-2	ZNF280D-1		NA	NA	repression GoF	NA	NA	NA
ZNF778	ENSG00000170100	C2H2 ZF	ZNF778-1	ZNF778-2	0.0	NA	NA	activation loss	no localization change	NA	NA
MAZ	ENSG00000103495	C2H2 ZF	MAZ-2	MAZ-3		NA	NA	rewire	NA	NA	NA
CTCF	ENSG00000102974	C2H2 ZF	CTCF-1	CTCF-2	19.67871485943775	NA	NA	activation loss	no localization change	NA	NA
ZNF174	ENSG00000103343	C2H2 ZF	ZNF174-1	ZNF174-2	100.0	NA	NA	similar	NA	NA	NA
ZNF174	ENSG00000103343	C2H2 ZF	ZNF174-1	ZNF174-3	100.0	NA	NA	similar	NA	NA	NA
ZNF263	ENSG00000006194	C2H2 ZF	ZNF263-1	ZNF263-3	100.0	NA	PPI loss: all	activation loss	no localization change	negative regulator	negative regulator (activ,PPIs,DBD loss)
ZNF276	ENSG00000158805	C2H2 ZF	ZNF276-1	ZNF276-4	29.37853107344633	NA	NA	similar	NA	NA	NA
ZNF276	ENSG00000158805	C2H2 ZF	ZNF276-1	ZNF276-2	0.0	NA	NA	similar	NA	NA	NA
ZNF276	ENSG00000158805	C2H2 ZF	ZNF276-1	ZNF276-3	29.37853107344633	NA	NA	similar	NA	NA	NA
E4F1	ENSG00000167967	C2H2 ZF	E4F1-1	E4F1-2	0.0	NA	NA	rewire	no localization change	NA	NA
ZFP1	ENSG00000184517	C2H2 ZF	ZFP1-2	ZFP1-4	100.0	NA	NA	similar	NA	NA	NA
ZFP1	ENSG00000184517	C2H2 ZF	ZFP1-2	ZFP1-1	0.0	NA	NA	repression GoF	NA	NA	NA
ZFP1	ENSG00000184517	C2H2 ZF	ZFP1-2	ZFP1-3	100.0	NA	NA	similar	NA	NA	NA
ZNF75A	ENSG00000162086	C2H2 ZF	ZNF75A-1	ZNF75A-2	100.0	NA	NA	similar	NA	NA	NA
GLIS2	ENSG00000126603	C2H2 ZF	GLIS2-1	GLIS2-3	5.223880597014925	NA	NA	similar	NA	NA	NA
ZSCAN32	ENSG00000140987	C2H2 ZF	ZSCAN32-1	ZSCAN32-4	67.30038022813687	NA	NA	similar	NA	NA	NA
ZSCAN32	ENSG00000140987	C2H2 ZF	ZSCAN32-1	ZSCAN32-2	0.0	NA	NA	similar	NA	NA	NA
ZNF747	ENSG00000169955	C2H2 ZF	ZNF747-1	ZNF747-2	100.0	NA	NA	similar	NA	NA	NA
ZNF747	ENSG00000169955	C2H2 ZF	ZNF747-1	ZNF747-3	100.0	NA	NA	similar	NA	NA	NA
ZNF23	ENSG00000167377	C2H2 ZF	ZNF23-2	ZNF23-3	100.0	NA	NA	activation GoF	NA	NA	NA
ZNF23	ENSG00000167377	C2H2 ZF	ZNF23-2	ZNF23-1	0.0	NA	NA	NA	NA	NA	NA
ZNF19	ENSG00000157429	C2H2 ZF	ZNF19-1	ZNF19-2	0.0	NA	NA	similar	NA	NA	NA
ZNF688	ENSG00000229809	C2H2 ZF	ZNF688-2	ZNF688-5	100.0	NA	NA	NA	NA	NA	NA
ZNF688	ENSG00000229809	C2H2 ZF	ZNF688-2	ZNF688-4	0.0	NA	NA	similar	NA	NA	NA
SP2	ENSG00000167182	C2H2 ZF	SP2-1	SP2-3	100.0	NA	NA	rewire	NA	NA	NA
SP2	ENSG00000167182	C2H2 ZF	SP2-1	SP2-2	0.0	NA	NA	NA	NA	NA	NA
DLX4	ENSG00000108813	Homeodomain	DLX4-1	DLX4-2	0.0	PDI rewire	NA	NA	no localization change	rewirer	rewirer
DLX4	ENSG00000108813	Homeodomain	DLX4-1	DLX4-3	24.561403508771928	PDI loss	NA	NA	no localization change	negative regulator	negative regulator (PDIs,DBD loss)
ZNF207	ENSG00000010244	C2H2 ZF	ZNF207-1	ZNF207-2	0.0	NA	NA	similar	NA	NA	NA
ZNF207	ENSG00000010244	C2H2 ZF	ZNF207-1	ZNF207-4	0.0	NA	NA	similar	NA	NA	NA
ZNF207	ENSG00000010244	C2H2 ZF	ZNF207-1	ZNF207-3	0.0	NA	NA	similar	NA	NA	NA
STAT5A	ENSG00000126561	STAT	STAT5A-1	STAT5A-2	100.0	NA	NA	similar	NA	NA	NA
MLX	ENSG00000108788	bHLH	MLX-1	MLX-3	0.0	NA	PPI rewire	NA	localization change	NA	NA
MLX	ENSG00000108788	bHLH	MLX-1	MLX-2	0.0	NA	PPI loss: all	activation loss	NA	negative regulator	negative regulator (activ,PPIs)
THRA	ENSG00000126351	Nuclear receptor	THRA-2	THRA-1	0.0	PDI rewire	NA	rewire	no localization change	rewirer	rewirer
STAT3	ENSG00000168610	STAT	STAT3-1	STAT3-2	0.0	PDI loss	PPI loss: cofactor	NA	localization loss	negative regulator	negative regulator (PDIs,PPIs, loc loss)
STAT3	ENSG00000168610	STAT	STAT3-1	STAT3-3	0.0	PDI loss	PPI loss: cofactor,signalling	similar	no localization change	negative regulator	negative regulator (PDIs,PPIs)
TP53	ENSG00000141510	p53	TP53-1	TP53-2	0.0	NA	PPI loss: all	NA	no localization change	negative regulator	negative regulator (PPIs)
ZNF18	ENSG00000154957	C2H2 ZF	ZNF18-2	ZNF18-3	0.0	no PDI change	no PPI change (all PPIs)	similar	NA	similar to ref.	similar to ref.
ZNF18	ENSG00000154957	C2H2 ZF	ZNF18-2	ZNF18-1	0.0	no PDI change	PPI rewire	similar	NA	rewirer	rewirer
HNF1B	ENSG00000275410	Homeodomain	HNF1B-1	HNF1B-2	0.0	NA	NA	similar	NA	NA	NA
ETV4	ENSG00000175832	Ets	ETV4-1	ETV4-2	0.0	NA	NA	similar	NA	NA	NA
MEOX1	ENSG00000005102	Homeodomain	MEOX1-1	MEOX1-2	0.0	PDI loss	PPI loss: cofactor,signalling	activation loss	no localization change	negative regulator	negative regulator (activ,PDIs,PPIs)
MEOX1	ENSG00000005102	Homeodomain	MEOX1-1	MEOX1-3	100.0	PDI loss	PPI loss: cofactor,signalling	activation loss	no localization change	negative regulator	negative regulator (activ,PDIs,PPIs,DBD loss)
NFATC1	ENSG00000131196	Rel	NFATC1-1	NFATC1-2	18.012422360248447	PDI loss	NA	similar	NA	negative regulator	negative regulator (PDIs,DBD loss)
TGIF1	ENSG00000177426	Homeodomain	TGIF1-3	TGIF1-1	0.0	PDI rewire	NA	similar	NA	rewirer	rewirer
TGIF1	ENSG00000177426	Homeodomain	TGIF1-3	TGIF1-2	27.500000000000004	PDI loss	NA	similar	NA	negative regulator	negative regulator (PDIs,DBD loss)
SMAD4	ENSG00000141646	SMAD	SMAD4-2	SMAD4-1	0.0	NA	no PPI change (all PPIs)	NA	NA	NA	NA
ZNF397	ENSG00000186812	C2H2 ZF	ZNF397-2	ZNF397-3		NA	PPI rewire	similar	NA	rewirer	rewirer
ZNF397	ENSG00000186812	C2H2 ZF	ZNF397-2	ZNF397-4		NA	PPI rewire	similar	NA	rewirer	rewirer
ZNF397	ENSG00000186812	C2H2 ZF	ZNF397-2	ZNF397-5		NA	PPI loss: all	similar	NA	negative regulator	negative regulator (PPIs)
ZNF397	ENSG00000186812	C2H2 ZF	ZNF397-2	ZNF397-1		NA	PPI rewire	similar	NA	rewirer	rewirer
CXXC1	ENSG00000154832	CxxC	CXXC1-2	CXXC1-1	0.0	NA	no PPI change (all PPIs)	NA	NA	NA	NA
ZNF24	ENSG00000172466	C2H2 ZF	ZNF24-1	ZNF24-2	100.0	NA	no PPI change (all PPIs)	similar	NA	negative regulator	negative regulator (DBD loss)
TCF4	ENSG00000196628	bHLH	TCF4-1	TCF4-3	0.0	NA	no PPI change (important PPIs)	similar	no localization change	similar to ref.	similar to ref.
TCF4	ENSG00000196628	bHLH	TCF4-1	TCF4-5	0.0	NA	PPI rewire	rewire	no localization change	rewirer	rewirer
TCF4	ENSG00000196628	bHLH	TCF4-1	TCF4-6	0.0	NA	PPI rewire	rewire	no localization change	rewirer	rewirer
TCF4	ENSG00000196628	bHLH	TCF4-1	TCF4-8	0.0	PDI rewire	PPI rewire	similar	localization loss	negative regulator	negative regulator (loc loss)
TCF4	ENSG00000196628	bHLH	TCF4-1	TCF4-2	0.0	PDI rewire	no PPI change (important PPIs)	similar	no localization change	rewirer	rewirer
TCF4	ENSG00000196628	bHLH	TCF4-1	TCF4-4	0.0	PDI rewire	no PPI change (important PPIs)	similar	no localization change	rewirer	rewirer
TCF4	ENSG00000196628	bHLH	TCF4-1	TCF4-7	0.0	NA	PPI rewire	similar	no localization change	rewirer	rewirer
ZNF460	ENSG00000197714	C2H2 ZF	ZNF460-1	ZNF460-2	0.0	NA	NA	NA	NA	NA	NA
FOSB	ENSG00000125740	bZIP	FOSB-1	FOSB-2	0.0	NA	PPI loss: cofactor	rewire	no localization change	negative regulator	negative regulator (PPIs)
FOSB	ENSG00000125740	bZIP	FOSB-1	FOSB-3	0.0	NA	PPI loss: all	rewire	no localization change	negative regulator	negative regulator (PPIs)
ZNF302	ENSG00000089335	C2H2 ZF	ZNF302-3	ZNF302-2	0.0	NA	NA	similar	NA	NA	NA
ZNF302	ENSG00000089335	C2H2 ZF	ZNF302-3	ZNF302-4	100.0	NA	NA	similar	NA	NA	NA
ZNF302	ENSG00000089335	C2H2 ZF	ZNF302-3	ZNF302-5	100.0	NA	NA	NA	NA	NA	NA
ZNF302	ENSG00000089335	C2H2 ZF	ZNF302-3	ZNF302-1	0.0	NA	NA	similar	NA	NA	NA
ZNF473	ENSG00000142528	C2H2 ZF	ZNF473-1	ZNF473-2	100.0	NA	NA	rewire	no localization change	NA	NA
SPIB	ENSG00000269404	Ets	SPIB-2	SPIB-1		NA	NA	rewire	NA	NA	NA
ZNF177	ENSG00000188629	C2H2 ZF	ZNF177-1	ZNF177-3	100.0	NA	NA	similar	NA	NA	NA
ZNF177	ENSG00000188629	C2H2 ZF	ZNF177-1	ZNF177-2	100.0	NA	NA	similar	NA	NA	NA
ZNF544	ENSG00000198131	C2H2 ZF	ZNF544-1	ZNF544-6	100.0	NA	NA	repression loss	NA	NA	NA
ZNF544	ENSG00000198131	C2H2 ZF	ZNF544-1	ZNF544-7	100.0	NA	NA	rewire	NA	NA	NA
ZNF544	ENSG00000198131	C2H2 ZF	ZNF544-1	ZNF544-2	4.773869346733668	NA	NA	similar	NA	NA	NA
ZNF544	ENSG00000198131	C2H2 ZF	ZNF544-1	ZNF544-3	12.814070351758794	NA	NA	similar	NA	NA	NA
ZNF544	ENSG00000198131	C2H2 ZF	ZNF544-1	ZNF544-5	100.0	NA	NA	rewire	NA	NA	NA
ZNF254	ENSG00000213096	C2H2 ZF	ZNF254-1	ZNF254-2	100.0	NA	NA	NA	NA	NA	NA
ZNF613	ENSG00000176024	C2H2 ZF	ZNF613-1	ZNF613-2	0.0	NA	NA	repression loss	NA	NA	NA
NFIC	ENSG00000141905	SMAD	NFIC-1	NFIC-3	0.0	NA	NA	activation loss	NA	NA	NA
NFIC	ENSG00000141905	SMAD	NFIC-1	NFIC-2	0.0	NA	NA	similar	NA	NA	NA
ZNF549	ENSG00000121406	C2H2 ZF	ZNF549-1	ZNF549-2	100.0	NA	NA	NA	NA	NA	NA
ZNF230	ENSG00000159882	C2H2 ZF	ZNF230-1	ZNF230-2	100.0	NA	NA	similar	NA	NA	NA
ZNF548	ENSG00000188785	C2H2 ZF	ZNF548-1	ZNF548-2	0.0	NA	NA	similar	NA	NA	NA
ZNF559	ENSG00000188321	C2H2 ZF	ZNF559-1	ZNF559-2	100.0	NA	NA	NA	NA	NA	NA
ZNF559	ENSG00000188321	C2H2 ZF	ZNF559-1	ZNF559-3	100.0	NA	NA	NA	NA	NA	NA
ZNF223	ENSG00000178386	C2H2 ZF	ZNF223-1	ZNF223-2	100.0	NA	NA	NA	NA	NA	NA
ZNF419	ENSG00000105136	C2H2 ZF	ZNF419-1	ZNF419-2	0.0	NA	NA	NA	NA	NA	NA
ZNF419	ENSG00000105136	C2H2 ZF	ZNF419-1	ZNF419-3	0.0	NA	NA	NA	NA	NA	NA
ETV2	ENSG00000105672	Ets	ETV2-2	ETV2-1	0.0	NA	NA	NA	NA	NA	NA
ETV2	ENSG00000105672	Ets	ETV2-2	ETV2-3	0.0	NA	NA	NA	NA	NA	NA
ETV2	ENSG00000105672	Ets	ETV2-2	ETV2-4	0.0	NA	NA	NA	NA	NA	NA
NFIX	ENSG00000008441	SMAD	NFIX-1	NFIX-2	0.0	PDI rewire	no PPI change (all PPIs)	similar	no localization change	rewirer	rewirer
NFIX	ENSG00000008441	SMAD	NFIX-1	NFIX-3	0.0	no PDI change	PPI rewire	similar	no localization change	rewirer	rewirer
NFIX	ENSG00000008441	SMAD	NFIX-1	NFIX-4	0.0	no PDI change	PPI loss: all	rewire	no localization change	negative regulator	negative regulator (PPIs)
ZNF101	ENSG00000181896	C2H2 ZF	ZNF101-1	ZNF101-2	100.0	NA	NA	NA	NA	NA	NA
ZNF264	ENSG00000083844	C2H2 ZF	ZNF264-1	ZNF264-3	100.0	NA	NA	similar	NA	NA	NA
ZNF264	ENSG00000083844	C2H2 ZF	ZNF264-1	ZNF264-4	100.0	NA	NA	activation loss	NA	NA	NA
ZNF264	ENSG00000083844	C2H2 ZF	ZNF264-1	ZNF264-2	0.0	NA	NA	similar	NA	NA	NA
ZNF430	ENSG00000118620	C2H2 ZF	ZNF430-4	ZNF430-1		NA	NA	similar	NA	NA	NA
ZNF430	ENSG00000118620	C2H2 ZF	ZNF430-4	ZNF430-2		NA	NA	similar	NA	NA	NA
ZNF430	ENSG00000118620	C2H2 ZF	ZNF430-4	ZNF430-3		NA	NA	similar	NA	NA	NA
ZNF175	ENSG00000105497	C2H2 ZF	ZNF175-1	ZNF175-2	100.0	NA	NA	repression loss	NA	NA	NA
ZNF175	ENSG00000105497	C2H2 ZF	ZNF175-1	ZNF175-3	100.0	NA	NA	NA	NA	NA	NA
ZBTB32	ENSG00000011590	C2H2 ZF	ZBTB32-1	ZBTB32-2	100.0	NA	NA	NA	NA	NA	NA
ERF	ENSG00000105722	Ets	ERF-1	ERF-2	60.0	NA	NA	NA	NA	NA	NA
MEIS3	ENSG00000105419	Homeodomain	MEIS3-4	MEIS3-2	0.0	NA	NA	similar	NA	NA	NA
MEIS3	ENSG00000105419	Homeodomain	MEIS3-4	MEIS3-5	0.0	NA	NA	activation GoF	NA	NA	NA
