tf	orf1	orf2	seg1_len	seg2_len	len_diff	perc_change	len_frameshift	len_pblock	perc_frameshift	clustal_score1	clustal_score2
CREM	CREM-204	CREM-206	63	12	51	19.0476190476	0	75	0.0	16	-21
CREM	CREM-204	CREM-206	48	47	1	97.9166666667	0	95	0.0	72	206
CREM	CREM-204	CREM-207	199	8	191	4.02010050251	0	207	0.0	25	-12
CREM	CREM-204	CREM-207	48	47	1	97.9166666667	0	95	0.0	72	206
CREM	CREM-204	CREM-208	56	26	30	46.4285714286	0	82	0.0	7	-23
CREM	CREM-204	CREM-210	48	47	1	97.9166666667	0	95	0.0	72	206
CREM	CREM-204	CREM-211	164	17	147	10.3658536585	0	181	0.0	29	-4
CREM	CREM-204	CREM-213	48	47	1	97.9166666667	0	95	0.0	72	206
CREM	CREM-204	CREM-214	56	26	30	46.4285714286	0	82	0.0	7	-23
CREM	CREM-204	CREM-221	63	12	51	19.0476190476	0	75	0.0	16	-21
CREM	CREM-204	CREM-224	199	24	175	12.0603015075	0	223	0.0	16	4
CREM	CREM-204	CREM-226	244	19	225	7.7868852459	0	263	0.0	15	-7
CREM	CREM-204	CREM-228	199	20	179	10.0502512563	0	219	0.0	20	1
CREM	CREM-204	CREM-228	48	47	1	97.9166666667	0	95	0.0	72	206
CREM	CREM-204	CREM-230	199	12	187	6.03015075377	0	211	0.0	16	-18
CREM	CREM-204	CREM-230	48	47	1	97.9166666667	0	95	0.0	72	206
CREM	CREM-204	CREM-234	56	26	30	46.4285714286	0	82	0.0	7	-23
CREM	CREM-204	CREM-234	63	12	51	19.0476190476	0	75	0.0	16	-21
CREM	CREM-204	CREM-236	199	20	179	10.0502512563	0	219	0.0	20	1
CREM	CREM-204	CREM-237	199	8	191	4.02010050251	0	207	0.0	25	-12
CREM	CREM-204	CREM-238	199	2	197	1.00502512563	0	201	0.0	100	-9
CREM	CREM-204	CREM-238	48	47	1	97.9166666667	0	95	0.0	72	206
CREM	CREM-204	CREM-242	199	12	187	6.03015075377	0	211	0.0	16	-18
MEF2D	MEF2D-204	MEF2D-201	45	46	-1	102.222222222	0	91	0.0	20	77
MEF2D	MEF2D-204	MEF2D-202	45	46	-1	102.222222222	0	91	0.0	20	77
MEF2D	MEF2D-204	MEF2D-203	427	53	374	12.4121779859	7	473	1.4799154334	16	75
ZNF117	ZNF117-201	ZNF117-203	205	105	100	51.2195121951	0	310	0.0	77	494
LCORL	LCORL-207	LCORL-201	1612	59	1553	3.66004962779	3	1668	0.179856115108	22	18
LCORL	LCORL-207	LCORL-202	1612	343	1269	21.2779156328	0	1955	0.0	12	164
LCORL	LCORL-207	LCORL-203	1612	343	1269	21.2779156328	0	1955	0.0	12	164
ZNF334	ZNF334-201	ZNF334-203	49	72	-23	146.93877551	42	79	53.164556962	4	-41
ZNF334	ZNF334-201	ZNF334-206	7	6	1	85.7142857143	0	13	0.0	33	1
ZNF333	ZNF333-201	ZNF333-203	365	3	362	0.821917808219	0	368	0.0	33	-16
ZNF333	ZNF333-201	ZNF333-209	623	124	499	19.9036918138	68	679	10.0147275405	16	39
ZNF91	ZNF91-201	ZNF91-212	1107	38	1069	3.43270099368	0	1145	0.0	13	11
MECOM	MECOM-220	MECOM-201	125	1	124	0.8	0	126	0.0	100	-14
MECOM	MECOM-220	MECOM-203	44	5	39	11.3636363636	0	49	0.0	60	-10
THYN1	THYN1-201	THYN1-202	65	6	59	9.23076923077	6	65	9.23076923077	50	4
MYT1L	MYT1L-202	MYT1L-206	282	20	262	7.09219858156	0	302	0.0	20	-8
MYT1L	MYT1L-202	MYT1L-207	923	6	917	0.650054171181	0	929	0.0	50	4
MYT1L	MYT1L-202	MYT1L-207	160	2	158	1.25	0	161	0.0	50	-19
MYT1L	MYT1L-202	MYT1L-210	1184	16	1168	1.35135135135	16	1184	1.35135135135	25	-5
MYT1L	MYT1L-202	MYT1L-212	1184	41	1143	3.46283783784	41	1184	3.46283783784	14	41
MYT1L	MYT1L-202	MYT1L-216	46	8	38	17.3913043478	0	54	0.0	12	-29
MYT1L	MYT1L-202	MYT1L-221	46	8	38	17.3913043478	0	54	0.0	12	-29
MYT1L	MYT1L-202	MYT1L-222	160	80	80	50.0	0	239	0.0	5	-29
MYT1L	MYT1L-202	MYT1L-226	46	3	43	6.52173913043	0	49	0.0	0	-14
MYT1L	MYT1L-202	MYT1L-227	46	3	43	6.52173913043	0	49	0.0	0	-14
MYT1L	MYT1L-202	MYT1L-228	160	47	113	29.375	0	206	0.0	4	-25
MYT1L	MYT1L-202	MYT1L-229	1184	4	1180	0.337837837838	4	1184	0.337837837838	50	-10
MYT1L	MYT1L-202	MYT1L-235	46	8	38	17.3913043478	0	54	0.0	12	-29
MYT1L	MYT1L-202	MYT1L-237	46	8	38	17.3913043478	0	54	0.0	12	-29
MYT1L	MYT1L-202	MYT1L-239	1184	3	1181	0.253378378378	3	1184	0.253378378378	66	-9
MYT1L	MYT1L-202	MYT1L-244	1184	6	1178	0.506756756757	6	1184	0.506756756757	33	-7
MYT1L	MYT1L-202	MYT1L-246	1184	14	1170	1.18243243243	14	1184	1.18243243243	28	20
MYT1L	MYT1L-202	MYT1L-247	1184	131	1053	11.0641891892	131	1184	11.0641891892	9	97
MYT1L	MYT1L-202	MYT1L-252	1134	6	1128	0.529100529101	0	1139	0.0	16	-13
MYT1L	MYT1L-202	MYT1L-258	282	9	273	3.1914893617	0	291	0.0	22	-10
MYT1L	MYT1L-202	MYT1L-259	282	20	262	7.09219858156	0	302	0.0	20	-8
TET3	TET3-202	TET3-201	101	8	93	7.92079207921	0	109	0.0	25	-9
TET2	TET2-203	TET2-202	866	29	837	3.34872979215	0	895	0.0	20	12
BBX	BBX-206	BBX-207	609	326	283	53.5303776683	273	662	41.2386706949	8	83
BBX	BBX-206	BBX-212	911	1	910	0.109769484083	1	911	0.109769484083	100	-3
ZNF33B	ZNF33B-201	ZNF33B-202	660	12	648	1.81818181818	0	672	0.0	16	-17
ZNF33B	ZNF33B-201	ZNF33B-203	660	2	658	0.30303030303	0	662	0.0	50	-14
ZNF33B	ZNF33B-201	ZNF33B-207	3	10	-7	333.333333333	0	13	0.0	33	-5
ZNF33B	ZNF33B-201	ZNF33B-208	3	3	0	100.0	0	6	0.0	33	7
ZNF33A	ZNF33A-204	ZNF33A-201	3	21	-18	700.0	0	24	0.0	33	-14
ZNF33A	ZNF33A-204	ZNF33A-205	682	9	673	1.31964809384	0	691	0.0	11	2
ZNF33A	ZNF33A-204	ZNF33A-208	3	10	-7	333.333333333	0	13	0.0	33	-5
NFYC	NFYC-205	NFYC-206	95	73	22	76.8421052632	31	137	22.6277372263	6	-23
NFYC	NFYC-205	NFYC-207	335	3	332	0.89552238806	3	335	0.89552238806	66	-7
NFYB	NFYB-201	NFYB-204	2	3	-1	150.0	0	5	0.0	50	6
PITX2	PITX2-201	PITX2-203	68	15	53	22.0588235294	0	83	0.0	20	-23
PITX2	PITX2-201	PITX2-205	68	61	7	89.7058823529	0	129	0.0	8	7
PITX2	PITX2-201	PITX2-206	68	61	7	89.7058823529	0	129	0.0	8	7
PITX2	PITX2-201	PITX2-207	68	15	53	22.0588235294	0	83	0.0	20	-23
PITX2	PITX2-201	PITX2-209	187	127	60	67.9144385027	0	314	0.0	11	-28
ZNF7	ZNF7-207	ZNF7-201	604	66	538	10.9271523179	0	670	0.0	19	20
ZNF7	ZNF7-207	ZNF7-203	604	66	538	10.9271523179	0	670	0.0	19	20
ZNF7	ZNF7-207	ZNF7-206	604	52	552	8.60927152318	0	656	0.0	7	-9
ZNF7	ZNF7-207	ZNF7-209	604	5	599	0.827814569536	5	604	0.827814569536	20	-5
ZNF3	ZNF3-202	ZNF3-205	356	41	315	11.5168539326	0	397	0.0	7	0
CTCFL	CTCFL-201	CTCFL-204	105	15	90	14.2857142857	0	120	0.0	6	-26
CTCFL	CTCFL-201	CTCFL-208	105	69	36	65.7142857143	0	174	0.0	4	-9
CTCFL	CTCFL-201	CTCFL-209	50	52	-2	104.0	0	102	0.0	2	-39
CTCFL	CTCFL-201	CTCFL-210	310	51	259	16.4516129032	0	361	0.0	7	-13
CTCFL	CTCFL-201	CTCFL-211	50	52	-2	104.0	0	102	0.0	2	-39
CTCFL	CTCFL-201	CTCFL-212	105	69	36	65.7142857143	0	174	0.0	4	-9
CTCFL	CTCFL-201	CTCFL-217	105	69	36	65.7142857143	0	174	0.0	4	-9
CTCFL	CTCFL-201	CTCFL-218	50	52	-2	104.0	0	102	0.0	2	-39
CTCFL	CTCFL-201	CTCFL-221	105	3	102	2.85714285714	0	108	0.0	0	-18
ZNF559-ZNF177	ZNF559-ZNF177-202	ZNF559-ZNF177-201	209	8	201	3.82775119617	0	217	0.0	25	0
PBX3	PBX3-204	PBX3-201	98	15	83	15.306122449	15	98	15.306122449	26	9
PBX3	PBX3-204	PBX3-206	434	5	429	1.15207373272	0	439	0.0	40	-15
PBX1	PBX1-203	PBX1-202	98	15	83	15.306122449	15	98	15.306122449	20	-5
PBX1	PBX1-203	PBX1-209	367	7	360	1.90735694823	0	373	0.0	28	-1
PBX1	PBX1-203	PBX1-221	98	15	83	15.306122449	15	98	15.306122449	20	-5
PBX1	PBX1-203	PBX1-222	30	20	10	66.6666666667	0	50	0.0	5	-21
ZSCAN32	ZSCAN32-203	ZSCAN32-202	416	184	232	44.2307692308	14	586	2.38907849829	12	62
ZSCAN32	ZSCAN32-203	ZSCAN32-204	286	16	270	5.59440559441	0	302	0.0	25	-5
ZSCAN32	ZSCAN32-203	ZSCAN32-207	575	107	468	18.6086956522	107	575	18.6086956522	19	62
ZSCAN32	ZSCAN32-203	ZSCAN32-209	286	16	270	5.59440559441	0	302	0.0	25	-5
ZSCAN32	ZSCAN32-203	ZSCAN32-211	286	16	270	5.59440559441	0	302	0.0	25	-5
ZSCAN31	ZSCAN31-201	ZSCAN31-205	127	11	116	8.66141732283	0	138	0.0	9	-18
ZSCAN30	ZSCAN30-201	ZSCAN30-203	310	9	301	2.90322580645	0	319	0.0	44	4
ZSCAN30	ZSCAN30-201	ZSCAN30-205	310	37	273	11.935483871	0	347	0.0	10	7
ZSCAN30	ZSCAN30-201	ZSCAN30-208	358	9	349	2.51396648045	0	367	0.0	44	5
ZSCAN30	ZSCAN30-201	ZSCAN30-210	449	6	443	1.33630289532	6	449	1.33630289532	33	-6
ZSCAN30	ZSCAN30-201	ZSCAN30-212	101	87	14	86.1386138614	0	188	0.0	5	-21
DNMT1	DNMT1-201	DNMT1-221	1616	9	1607	0.556930693069	9	1616	0.556930693069	22	4
THRB	THRB-201	THRB-202	109	94	15	86.2385321101	0	203	0.0	4	-22
THRB	THRB-201	THRB-204	109	63	46	57.7981651376	0	172	0.0	3	-1
THRB	THRB-201	THRB-207	476	63	413	13.2352941176	0	539	0.0	12	7
THRB	THRB-201	THRB-208	476	67	409	14.0756302521	0	543	0.0	11	15
THRB	THRB-201	THRB-209	109	94	15	86.2385321101	0	203	0.0	4	-22
THRB	THRB-201	THRB-210	109	94	15	86.2385321101	0	203	0.0	4	-22
THRB	THRB-201	THRB-211	109	94	15	86.2385321101	0	203	0.0	4	-22
THRB	THRB-201	THRB-212	109	94	15	86.2385321101	0	203	0.0	4	-22
THRA	THRA-203	THRA-201	40	120	-80	300.0	0	160	0.0	15	24
THRA	THRA-203	THRA-209	40	81	-41	202.5	0	121	0.0	15	24
MBNL2	MBNL2-202	MBNL2-203	36	42	-6	116.666666667	4	74	5.40540540541	8	-37
MBNL2	MBNL2-202	MBNL2-204	48	42	6	87.5	4	86	4.6511627907	14	-6
MBNL2	MBNL2-202	MBNL2-205	268	18	250	6.71641791045	0	286	0.0	16	-7
PRMT3	PRMT3-202	PRMT3-203	90	28	62	31.1111111111	27	91	29.6703296703	10	-45
CREB5	CREB5-201	CREB5-202	155	16	139	10.3225806452	0	171	0.0	18	3
CREB5	CREB5-201	CREB5-215	54	1	53	1.85185185185	0	55	0.0	0	-24
TONSL	TONSL-201	TONSL-203	55	54	1	98.1818181818	40	69	57.9710144928	3	-36
TONSL	TONSL-201	TONSL-203	45	42	3	93.3333333333	42	45	93.3333333333	7	-12
TONSL	TONSL-201	TONSL-203	42	41	1	97.619047619	41	42	97.619047619	7	-15
TONSL	TONSL-201	TONSL-203	748	11	737	1.47058823529	11	748	1.47058823529	36	-3
CREB1	CREB1-206	CREB1-212	47	33	14	70.2127659574	0	80	0.0	6	-7
KAT8	KAT8-206	KAT8-202	21	30	-9	142.857142857	0	51	0.0	4	-5
KAT8	KAT8-206	KAT8-203	458	19	439	4.14847161572	19	458	4.14847161572	21	4
KAT5	KAT5-201	KAT5-207	60	21	39	35.0	0	80	0.0	19	5
KAT5	KAT5-201	KAT5-209	546	20	526	3.663003663	20	546	3.663003663	30	19
KAT5	KAT5-201	KAT5-210	60	21	39	35.0	0	80	0.0	19	5
AES	AES-202	AES-201	9	76	-67	844.444444444	0	85	0.0	33	3
AES	AES-202	AES-206	197	49	148	24.8730964467	0	246	0.0	8	-5
SP140	SP140-203	SP140-202	732	37	695	5.05464480874	0	769	0.0	13	13
SP140	SP140-203	SP140-207	847	9	838	1.06257378985	0	856	0.0	11	-6
ZNF222	ZNF222-201	ZNF222-202	5	14	-9	280.0	0	19	0.0	20	-11
ZNF222	ZNF222-201	ZNF222-203	5	14	-9	280.0	0	19	0.0	20	-11
ZNF222	ZNF222-201	ZNF222-203	404	34	370	8.41584158416	0	438	0.0	8	-4
HIF1A	HIF1A-202	HIF1A-201	92	1	91	1.08695652174	1	92	1.08695652174	100	-15
HIF1A	HIF1A-202	HIF1A-204	12	36	-24	300.0	0	48	0.0	25	-8
ZNF852	ZNF852-201	ZNF852-204	249	54	195	21.686746988	0	303	0.0	11	-17
ZFP90	ZFP90-203	ZFP90-204	551	8	543	1.45190562613	0	559	0.0	25	-7
ZFP90	ZFP90-203	ZFP90-214	551	28	523	5.08166969147	0	579	0.0	7	-12
ZFP90	ZFP90-203	ZFP90-215	636	52	584	8.17610062893	10	678	1.47492625369	21	9
ZFP90	ZFP90-203	ZFP90-219	551	28	523	5.08166969147	0	579	0.0	7	-12
ZSCAN1	ZSCAN1-201	ZSCAN1-202	285	55	230	19.298245614	0	340	0.0	27	35
ZSCAN2	ZSCAN2-214	ZSCAN2-203	479	15	464	3.13152400835	0	494	0.0	6	-13
ZSCAN2	ZSCAN2-214	ZSCAN2-205	479	11	468	2.29645093946	0	490	0.0	18	-2
ZSCAN2	ZSCAN2-214	ZSCAN2-208	422	8	414	1.89573459716	0	430	0.0	12	-10
ZSCAN2	ZSCAN2-214	ZSCAN2-210	422	46	376	10.9004739336	0	468	0.0	8	26
ZSCAN2	ZSCAN2-214	ZSCAN2-212	523	16	507	3.05927342256	16	523	3.05927342256	25	0
ZSCAN2	ZSCAN2-214	ZSCAN2-213	422	18	404	4.2654028436	0	440	0.0	16	-8
EGR3	EGR3-201	EGR3-203	336	20	316	5.95238095238	2	354	0.564971751412	15	-7
EGR3	EGR3-201	EGR3-204	51	13	38	25.4901960784	0	64	0.0	15	-28
ZFP30	ZFP30-201	ZFP30-208	441	15	426	3.40136054422	0	456	0.0	20	12
TSHZ2	TSHZ2-202	TSHZ2-201	13	10	3	76.9230769231	0	23	0.0	20	-21
TSHZ2	TSHZ2-202	TSHZ2-203	13	10	3	76.9230769231	0	23	0.0	20	-21
TSHZ2	TSHZ2-202	TSHZ2-205	1034	74	960	7.15667311412	0	1108	0.0	17	24
TSHZ3	TSHZ3-201	TSHZ3-202	1068	20	1048	1.87265917603	0	1088	0.0	15	-2
PAX5	PAX5-201	PAX5-209	131	35	96	26.7175572519	25	141	17.7304964539	17	25
PAX5	PAX5-201	PAX5-212	391	3	388	0.76726342711	3	391	0.76726342711	66	-12
PAX5	PAX5-201	PAX5-214	131	64	67	48.8549618321	54	141	38.2978723404	18	59
PAX4	PAX4-202	PAX4-201	47	45	2	95.7446808511	0	92	0.0	11	16
PAX4	PAX4-202	PAX4-203	47	44	3	93.6170212766	0	91	0.0	11	16
PAX4	PAX4-202	PAX4-207	40	38	2	95.0	0	78	0.0	5	-20
PAX4	PAX4-202	PAX4-207	94	10	84	10.6382978723	0	104	0.0	20	-13
PAX7	PAX7-203	PAX7-201	38	53	-15	139.473684211	0	91	0.0	7	-26
PAX7	PAX7-203	PAX7-202	38	53	-15	139.473684211	0	91	0.0	7	-26
PAX6	PAX6-209	PAX6-236	78	129	-51	165.384615385	28	179	15.6424581006	12	2
PAX6	PAX6-209	PAX6-246	78	129	-51	165.384615385	28	179	15.6424581006	12	2
PAX6	PAX6-209	PAX6-249	78	57	21	73.0769230769	0	135	0.0	7	-26
PAX6	PAX6-209	PAX6-252	78	55	23	70.5128205128	0	133	0.0	7	-10
PAX6	PAX6-209	PAX6-266	4	5	-1	125.0	0	8	0.0	25	5
PAX6	PAX6-209	PAX6-276	78	57	21	73.0769230769	0	135	0.0	7	-26
PAX6	PAX6-209	PAX6-281	78	24	54	30.7692307692	24	78	30.7692307692	12	-12
PAX1	PAX1-201	PAX1-202	95	71	24	74.7368421053	0	166	0.0	5	35
PAX1	PAX1-201	PAX1-202	107	30	77	28.0373831776	27	110	24.5454545455	20	-2
PAX1	PAX1-201	PAX1-205	107	30	77	28.0373831776	27	110	24.5454545455	20	-2
ZNF584	ZNF584-201	ZNF584-202	324	56	268	17.2839506173	15	365	4.1095890411	7	-3
ZNF584	ZNF584-201	ZNF584-205	415	26	389	6.26506024096	26	415	6.26506024096	26	3
ZNF584	ZNF584-201	ZNF584-207	415	23	392	5.5421686747	9	429	2.0979020979	21	-8
ZNF584	ZNF584-201	ZNF584-209	324	41	283	12.6543209877	0	365	0.0	7	1
PAX3	PAX3-206	PAX3-201	289	11	278	3.8062283737	0	300	0.0	18	-4
PAX3	PAX3-206	PAX3-202	93	16	77	17.2043010753	10	99	10.101010101	18	-22
PAX3	PAX3-206	PAX3-203	93	12	81	12.9032258065	11	94	11.7021276596	16	-13
PAX3	PAX3-206	PAX3-204	11	6	5	54.5454545455	0	17	0.0	33	-20
PAX3	PAX3-206	PAX3-208	289	20	269	6.92041522491	0	309	0.0	20	20
PAX2	PAX2-201	PAX2-203	54	56	-2	103.703703704	28	82	34.1463414634	7	-8
PAX2	PAX2-201	PAX2-204	189	9	180	4.7619047619	0	198	0.0	22	-9
PAX2	PAX2-201	PAX2-208	15	19	-4	126.666666667	0	33	0.0	20	15
ZNF589	ZNF589-201	ZNF589-202	290	6	284	2.06896551724	0	296	0.0	33	-4
ZNF589	ZNF589-201	ZNF589-203	290	22	268	7.58620689655	0	312	0.0	13	-9
ZNF589	ZNF589-201	ZNF589-204	208	22	186	10.5769230769	0	230	0.0	18	-7
ZFAT	ZFAT-207	ZFAT-202	109	34	75	31.1926605505	34	109	31.1926605505	11	1
ZFAT	ZFAT-207	ZFAT-210	1109	41	1068	3.69702434626	0	1149	0.0	19	-3
ZFAT	ZFAT-207	ZFAT-211	53	3	50	5.66037735849	0	56	0.0	33	-2
PAX9	PAX9-201	PAX9-204	87	29	58	33.3333333333	29	87	33.3333333333	13	-14
PAX8	PAX8-205	PAX8-202	191	62	129	32.4607329843	62	191	32.4607329843	22	42
PAX8	PAX8-205	PAX8-203	151	99	52	65.5629139073	99	151	65.5629139073	20	76
PAX8	PAX8-205	PAX8-204	191	28	163	14.6596858639	28	191	14.6596858639	35	40
PAX8	PAX8-205	PAX8-206	450	51	399	11.3333333333	50	451	11.0864745011	11	24
PAX8	PAX8-205	PAX8-208	450	25	425	5.55555555556	25	450	5.55555555556	16	1
ZNF611	ZNF611-201	ZNF611-207	684	27	657	3.94736842105	0	711	0.0	11	-15
ZNF611	ZNF611-201	ZNF611-214	684	54	630	7.89473684211	29	709	4.09026798307	16	10
ZNF613	ZNF613-201	ZNF613-207	617	10	607	1.62074554295	10	617	1.62074554295	20	-11
ZNF615	ZNF615-201	ZNF615-202	5	10	-5	200.0	0	15	0.0	20	-8
ZNF615	ZNF615-201	ZNF615-203	5	1	4	20.0	0	6	0.0	100	-4
ZNF615	ZNF615-201	ZNF615-206	652	19	633	2.91411042945	0	671	0.0	26	-8
ZNF614	ZNF614-201	ZNF614-202	425	38	387	8.94117647059	0	463	0.0	18	22
ZNF616	ZNF616-204	ZNF616-201	735	28	707	3.80952380952	0	763	0.0	21	-6
ZNF616	ZNF616-204	ZNF616-202	735	23	712	3.12925170068	6	752	0.797872340426	13	-9
ZNF619	ZNF619-209	ZNF619-201	138	82	56	59.4202898551	64	156	41.0256410256	14	4
ZNF619	ZNF619-209	ZNF619-205	100	16	84	16.0	8	107	7.47663551402	18	4
ZNF619	ZNF619-209	ZNF619-210	138	89	49	64.4927536232	64	163	39.263803681	13	15
RBCK1	RBCK1-202	RBCK1-201	56	14	42	25.0	7	63	11.1111111111	21	-7
RBCK1	RBCK1-202	RBCK1-203	306	136	170	44.4444444444	136	306	44.4444444444	9	65
RBCK1	RBCK1-202	RBCK1-206	510	63	447	12.3529411765	7	566	1.23674911661	9	10
RBCK1	RBCK1-202	RBCK1-208	510	4	506	0.78431372549	4	510	0.78431372549	25	-10
RBCK1	RBCK1-202	RBCK1-213	454	49	405	10.7929515419	0	503	0.0	12	13
MEOX1	MEOX1-201	MEOX1-202	98	28	70	28.5714285714	28	98	28.5714285714	14	-2
MEOX1	MEOX1-201	MEOX1-204	214	127	87	59.3457943925	127	214	59.3457943925	11	53
ZNF385C	ZNF385C-201	ZNF385C-205	83	4	79	4.81927710843	0	87	0.0	25	-13
ZNF385C	ZNF385C-201	ZNF385C-206	499	54	445	10.8216432866	54	499	10.8216432866	16	37
ZNF385B	ZNF385B-204	ZNF385B-202	99	8	91	8.08080808081	0	107	0.0	25	-30
ZNF385B	ZNF385B-204	ZNF385B-206	99	2	97	2.0202020202	0	101	0.0	50	-9
HOXA11	HOXA11-201	HOXA11-202	313	29	284	9.26517571885	6	336	1.78571428571	17	4
ZNF385D	ZNF385D-201	ZNF385D-208	7	108	-101	1542.85714286	0	115	0.0	28	-14
ZNF385D	ZNF385D-201	ZNF385D-210	395	9	386	2.27848101266	9	395	2.27848101266	22	-5
AKAP8L	AKAP8L-201	AKAP8L-205	11	30	-19	272.727272727	0	41	0.0	0	-35
ZNF101	ZNF101-208	ZNF101-204	394	19	375	4.82233502538	19	394	4.82233502538	26	11
ZNF100	ZNF100-206	ZNF100-201	38	13	25	34.2105263158	12	39	30.7692307692	61	44
ZNF100	ZNF100-206	ZNF100-202	1	1	0	100.0	0	2	0.0	0	0
ZNF100	ZNF100-206	ZNF100-202	38	13	25	34.2105263158	12	39	30.7692307692	61	44
ZNF100	ZNF100-206	ZNF100-205	1	1	0	100.0	0	2	0.0	0	0
ZNF100	ZNF100-206	ZNF100-205	460	49	411	10.652173913	0	509	0.0	8	-18
ZNF324	ZNF324-201	ZNF324-202	275	8	267	2.90909090909	8	275	2.90909090909	37	1
ZNF324	ZNF324-201	ZNF324-204	553	24	529	4.33996383363	24	553	4.33996383363	25	10
MZF1	MZF1-201	MZF1-202	477	2	475	0.41928721174	0	479	0.0	100	-8
MZF1	MZF1-201	MZF1-203	477	33	444	6.91823899371	33	477	6.91823899371	21	5
TBX1	TBX1-202	TBX1-201	159	62	97	38.9937106918	0	221	0.0	16	14
TBX1	TBX1-202	TBX1-203	159	36	123	22.641509434	0	195	0.0	16	3
TBX1	TBX1-202	TBX1-206	11	20	-9	181.818181818	0	31	0.0	27	-12
ZNF726	ZNF726-201	ZNF726-202	663	33	630	4.97737556561	0	696	0.0	9	9
ZNF726	ZNF726-201	ZNF726-203	663	14	649	2.11161387632	0	677	0.0	14	10
ZNF726	ZNF726-201	ZNF726-204	663	2	661	0.301659125189	0	665	0.0	50	-16
ZNF726	ZNF726-201	ZNF726-205	663	34	629	5.12820512821	0	697	0.0	8	9
ZNF726	ZNF726-201	ZNF726-206	126	4	122	3.1746031746	0	130	0.0	75	4
AC118549.1	AC118549.1-202	AC118549.1-204	502	8	494	1.59362549801	0	510	0.0	12	-7
ZFAND3	ZFAND3-201	ZFAND3-202	227	13	214	5.7268722467	13	227	5.7268722467	7	10
RBPJ	RBPJ-202	RBPJ-203	6	5	1	83.3333333333	0	11	0.0	20	4
RBPJ	RBPJ-202	RBPJ-204	6	7	-1	116.666666667	0	13	0.0	33	8
RBPJ	RBPJ-202	RBPJ-206	6	20	-14	333.333333333	0	26	0.0	16	-11
RBPJ	RBPJ-202	RBPJ-208	139	35	104	25.1798561151	35	139	25.1798561151	5	11
RBPJ	RBPJ-202	RBPJ-218	6	43	-37	716.666666667	0	49	0.0	16	-9
RBPJ	RBPJ-202	RBPJ-223	6	20	-14	333.333333333	0	26	0.0	16	-11
ZSCAN29	ZSCAN29-202	ZSCAN29-201	186	93	93	50.0	92	187	49.1978609626	15	47
ZSCAN29	ZSCAN29-202	ZSCAN29-201	445	2	443	0.449438202247	0	447	0.0	50	-25
ZSCAN29	ZSCAN29-202	ZSCAN29-204	359	64	295	17.8272980501	64	359	17.8272980501	7	2
ZSCAN29	ZSCAN29-202	ZSCAN29-208	445	2	443	0.449438202247	0	447	0.0	50	-25
ZSCAN20	ZSCAN20-201	ZSCAN20-202	562	6	556	1.06761565836	0	568	0.0	50	-14
ZSCAN21	ZSCAN21-201	ZSCAN21-203	212	189	23	89.1509433962	178	223	79.8206278027	8	-42
PA2G4	PA2G4-201	PA2G4-206	118	8	110	6.77966101695	0	126	0.0	37	-2
PA2G4	PA2G4-201	PA2G4-207	30	19	11	63.3333333333	0	48	0.0	10	5
TERF2	TERF2-201	TERF2-203	542	3	539	0.553505535055	3	542	0.553505535055	33	-11
TERF2	TERF2-201	TERF2-205	126	5	121	3.96825396825	0	131	0.0	40	-22
TERF2	TERF2-201	TERF2-207	262	13	249	4.96183206107	0	275	0.0	30	-13
TERF2	TERF2-201	TERF2-210	542	1	541	0.184501845018	1	542	0.184501845018	100	-13
TERF2	TERF2-201	TERF2-211	542	6	536	1.10701107011	6	542	1.10701107011	33	-1
TERF1	TERF1-202	TERF1-203	107	3	104	2.80373831776	0	109	0.0	33	-14
VPS72	VPS72-202	VPS72-207	177	12	165	6.77966101695	12	177	6.77966101695	25	6
THAP10	THAP10-201	THAP10-202	257	1	256	0.389105058366	0	258	0.0	100	-13
MNT	MNT-201	MNT-208	558	9	549	1.61290322581	9	558	1.61290322581	33	2
KMT2A	KMT2A-201	KMT2A-210	3825	20	3805	0.522875816993	0	3845	0.0	30	17
KMT2A	KMT2A-201	KMT2A-221	3969	28	3941	0.705467372134	0	3997	0.0	17	1
FLYWCH1	FLYWCH1-203	FLYWCH1-202	715	98	617	13.7062937063	98	715	13.7062937063	24	82
FLYWCH1	FLYWCH1-203	FLYWCH1-208	715	27	688	3.77622377622	27	715	3.77622377622	22	13
FLYWCH1	FLYWCH1-203	FLYWCH1-209	715	27	688	3.77622377622	27	715	3.77622377622	22	28
FLYWCH1	FLYWCH1-203	FLYWCH1-211	715	15	700	2.0979020979	15	715	2.0979020979	33	26
FLYWCH1	FLYWCH1-203	FLYWCH1-214	715	31	684	4.33566433566	31	715	4.33566433566	16	8
ZNF823	ZNF823-201	ZNF823-203	567	24	543	4.2328042328	23	568	4.04929577465	12	-15
ZNF821	ZNF821-203	ZNF821-211	3	2	1	66.6666666667	0	4	0.0	0	-10
ZNF821	ZNF821-203	ZNF821-217	308	1	307	0.324675324675	0	309	0.0	0	-31
ZNF827	ZNF827-201	ZNF827-207	1077	44	1033	4.08542246982	44	1077	4.08542246982	9	18
PRDM16	PRDM16-201	PRDM16-204	1085	6	1079	0.552995391705	0	1091	0.0	66	-2
PRDM16	PRDM16-201	PRDM16-206	102	3	99	2.94117647059	3	102	2.94117647059	33	-18
PRDM16	PRDM16-201	PRDM16-208	102	3	99	2.94117647059	3	102	2.94117647059	33	-18
